version,section,function,length,matching
us,asm,func_global_asm_8067C67C,32,yes
us,asm,func_global_asm_806C9434,412,yes
us,asm,func_global_asm_80713270,108,yes
us,asm,func_global_asm_806E918C,508,yes
us,asm,func_global_asm_806FF32C,44,yes
us,asm,func_global_asm_806E1334,424,yes
us,asm,func_global_asm_806E7338,332,yes
us,asm,func_global_asm_806D9184,32,yes
us,asm,func_global_asm_806A3B78,244,yes
us,asm,func_global_asm_8067881C,8,yes
us,asm,func_global_asm_806732A8,124,no
us,asm,func_global_asm_8070A934,832,no
us,asm,func_global_asm_806ED6B0,2376,no
us,asm,func_global_asm_8067E764,32,yes
us,asm,func_global_asm_806783BC,108,yes
us,asm,createLight,380,no
us,asm,func_global_asm_806531B8,524,no
us,asm,func_global_asm_806E6234,228,yes
us,asm,func_global_asm_8060E930,40,yes
us,asm,func_global_asm_8062B8E4,296,yes
us,asm,func_global_asm_8060D7A8,1172,yes
us,asm,func_global_asm_8066CB88,336,no
us,asm,func_global_asm_806E225C,2244,no
us,asm,func_global_asm_806A2B80,16,yes
us,asm,func_global_asm_8064BB4C,44,yes
us,asm,func_global_asm_807007B8,572,no
us,asm,func_global_asm_8062A274,212,yes
us,asm,func_global_asm_806E84A4,28,yes
us,asm,func_global_asm_8065297C,140,yes
us,asm,func_global_asm_806D91A4,380,yes
us,asm,func_global_asm_806E4634,268,yes
us,asm,func_global_asm_807385F0,380,no
us,asm,func_global_asm_806D2AA0,240,yes
us,asm,func_global_asm_80629174,24,yes
us,asm,func_global_asm_8073F8A0,1264,no
us,asm,func_global_asm_8066D2F4,488,no
us,asm,func_global_asm_8064F308,80,yes
us,asm,func_global_asm_80673C34,276,no
us,asm,func_global_asm_805FF8F8,64,yes
us,asm,func_global_asm_80732DEC,288,yes
us,asm,func_global_asm_806D2238,104,yes
us,asm,func_global_asm_8065BE74,164,no
us,asm,func_global_asm_806CEE64,116,yes
us,asm,func_global_asm_806E35D8,220,yes
us,asm,func_global_asm_806BE6F0,460,no
us,asm,func_global_asm_8062AD28,1132,no
us,asm,func_global_asm_8070FC40,140,yes
us,asm,func_global_asm_806F0624,128,yes
us,asm,func_global_asm_806F95C8,64,yes
us,asm,displayImage,3260,no
us,asm,func_global_asm_806D9320,1156,no
us,asm,func_global_asm_806E6B98,592,yes
us,asm,func_global_asm_806641A0,548,yes
us,asm,func_global_asm_80668C30,620,no
us,asm,func_global_asm_8064B150,64,yes
us,asm,func_global_asm_806621D0,508,yes
us,asm,func_global_asm_80671260,388,no
us,asm,func_global_asm_806CFEF4,40,yes
us,asm,func_global_asm_807324D0,100,yes
